count	reward_sum	squared_reward_sum	length
0	-125.29968931933718	10013.898601843368	128
1	-110.10809011109762	10004.928782294	91
2	-100.59495338247189	10002.916245854738	73
3	-107.04611492314011	10004.168281502365	78
4	-98.67901300277268	10001.63761891089	76
5	-161.8045094194237	10007.629526085593	1173
6	-122.77610260365282	10013.037700315757	65
7	-118.81151597171463	10009.76923073416	67
8	-111.26371772363612	10005.771245457077	59
9	-120.8732552276766	10010.080242184864	95
10	-106.01295892112391	10003.414514957358	73
11	-74.95330975940207	6.570339547038734	2000
12	-101.68466405479346	10002.118212396463	77
13	-104.75627131651822	10002.699163131052	309
14	-100.60669325482759	10001.815060236308	70
15	-101.02908465876435	10001.431036469581	71
16	-64.32236090701099	5.004276378668893	2000
17	-58.9358934729252	3.8145350188657092	2000
18	-74.8123919840406	4.424143291506812	2000
19	-100.4143353353495	10004.37690067337	116
20	-106.0057458665225	10002.379481030712	84
21	-128.00984925181038	10011.158459650162	111
22	-126.46335917925407	10010.803792843453	103
23	-100.44502469368155	10001.612564342755	78
24	-163.62313377777943	10007.785471139197	1742
25	-117.26405020517818	10007.118798425845	193
26	-124.82653827138446	10010.796286456021	148
27	-126.67027670437696	10013.891524123448	409
28	-100.4273753106605	10009.439662583209	143
29	-109.23305455901993	10005.16335693964	161
30	-117.73980027086475	10010.18458646535	95
31	-115.37588129386802	10005.009810968955	54
32	-101.84992131494444	10005.769175975394	96
33	-112.59589532012649	10004.700304979971	74
34	-126.71736073826673	10010.755501922597	105
35	-111.59073976519284	10007.374373416475	174
36	-121.16480316950037	10016.007873577724	70
37	-163.02973420256006	10023.200066223499	947
38	-101.52998704127307	10001.948003965492	78
39	-101.60994533924102	10003.45314522308	91
40	-99.43114397081202	10001.844524164037	73
41	-98.59557549125469	10001.602337271188	70
42	-100.53362194907014	10002.193484998765	77
43	-101.08723101038548	10001.993650814617	69
44	-99.73009988380782	10002.149877154812	72
45	-103.24033732822106	10003.440687061122	85
46	-100.59608999978316	10002.051963259812	74
47	-122.67009111319213	10006.057994158042	175
48	-99.88608069509036	10001.783714086192	66
49	-99.61968014589542	10000.848826160158	66
50	-98.30947285189146	10001.94904322136	74
51	-100.30328250424868	10002.497372037347	94
52	-96.32933496747174	10004.163558967248	84
53	-102.71697780457008	10004.370619543355	144
54	-95.99321561740828	10002.004619547492	86
55	-97.50460938138345	10001.848060694252	73
56	-95.81466804601168	10002.310296081334	100
57	-99.73903593629339	10001.866663903384	67
58	-101.54993102119988	10002.302161040307	74
59	-98.33024351422993	10001.535527726151	67
60	-101.8667232323441	10001.63175704373	57
61	-85.9938437079933	6.433025359606792	2000
62	-103.76311029209447	10002.929854131484	68
63	-102.07252085954032	10001.657242768819	93
64	-109.98633254329945	10003.823230667796	75
65	-102.14052538349262	10002.686057892737	83
66	-110.59579260080586	10003.396279991095	48
67	-106.55681702244783	10003.649998414056	72
68	-107.56243414814995	10004.004111403063	159
69	-107.07091211570614	10002.893666040938	89
70	-105.04631442137291	10003.8175433141	79
71	-117.97535652648918	10008.089582724622	75
72	-109.8289868860171	10007.735515469212	135
73	-107.87355232289325	10002.402304380043	76
74	-129.96888686814455	10008.822692540478	168
75	-104.89108274271317	10003.940427795666	209
