count	reward_sum	squared_reward_sum	length
0	-120.72378206436554	10013.209009472072	170
1	-130.36381829052038	10013.986589198434	136
2	-101.34103207656078	10002.641959829036	92
3	-99.51898201978983	10002.332504568512	103
4	-105.22657047477877	10002.124893700835	42
5	-119.74236836874294	10006.358364873546	156
6	-99.63979801706861	10004.26588770957	86
7	-102.3448662211885	10002.457910760519	50
8	-116.97193792581751	10009.1534001735	58
9	-107.29910715440475	10002.89396460582	60
10	-139.73834024633487	10017.738848176708	344
11	-115.78390830110239	10015.813390904994	199
12	-118.67547963181688	10010.326112749406	68
13	-128.77523170998447	10009.319970080418	523
14	-120.30685576921857	10009.625645682334	66
15	-120.0854101276854	10010.160100220322	59
16	-118.91571318927515	10009.50818138326	57
17	-121.33185111994968	10012.030700662055	58
18	-126.0274058018569	10014.724350163382	71
19	-115.80215852147441	10007.131864537345	51
20	-119.42525451995851	10008.600233970299	64
21	-119.7444104578062	9.321174429879186	2000
22	-119.53918556354202	10007.048374108768	95
23	-106.15009312898302	10002.39746159649	171
24	-114.23404341806118	10003.114615082197	337
25	-113.45088774192054	10004.533255500963	129
26	-131.7578917480375	10015.475502165607	108
27	-98.29969924754563	10003.488541677369	150
28	-108.4170560364174	10002.618326177819	54
29	-112.56920052606142	10004.989909161994	38
30	-111.87739526874672	10004.16794951432	39
31	-112.7686821852702	10004.294892581494	45
32	-110.48299391680833	10003.45596938408	100
33	-115.92634555583183	10005.713893497292	70
34	-105.49381404734946	10003.32243280998	114
35	-106.27375562388283	10001.97002252168	46
36	-112.54659657986261	10004.557577879557	43
37	-109.42549265544427	10002.613226279886	43
38	-104.49442223959738	10006.464887833348	108
39	-106.84769444008063	10002.339423365423	53
40	-115.65368701851081	10005.263794469916	88
41	-107.7202816046143	10005.618792536992	70
42	-125.6393792579752	10008.26356373572	169
43	-102.4010071824651	10004.209213389187	68
44	-97.3238484238439	10002.447211699	64
45	-100.63821748470623	10002.4812138941	93
46	-212.72585246808362	10013.443065645035	1903
47	-103.68594054865278	10000.810904148784	67
48	-103.74572422446994	10000.771363559377	68
49	-103.78678409444693	10000.751232974211	108
50	-148.91697960283298	10010.586723420036	508
51	-102.48052744736336	10000.596174263948	88
52	-104.20929368536098	10000.865059757898	77
53	-103.713580073346	10000.999219768364	63
54	-105.85151265083894	10000.82212193445	110
55	-108.33593295973478	10000.843814910575	144
56	-103.48981467331403	10001.134180324447	78
57	-167.63162711275015	10005.562783125857	1416
58	-114.01524540512963	10003.83800932986	150
59	-107.71046837111521	12.264508645968544	2000
60	-88.49942474440383	4.43572586390241	2000
61	-96.74377720708078	10001.93091694186	153
62	-95.61121289640207	6.368753816871089	2000
63	-106.59938352560914	10002.77674413468	141
64	-103.89342010611578	6.058780562609487	2000
65	-115.10982285954695	10005.159202736817	76
66	-103.07305355856249	10003.661097157094	186
67	-113.56903266861441	10004.085794195547	68
68	-115.16241340990024	10003.749109386492	105
69	-114.6730956478389	10003.864815777755	94
70	-115.0280981050453	10003.64404943174	70
71	-112.93951394387398	10002.61562366476	74
72	-102.34826155493883	10008.31871331992	180
73	-88.35332187263697	10007.129823836074	128
74	-118.92430413675757	10008.061920588922	66
75	-123.98490020779	10006.202144873536	123
76	-95.19233013622456	10006.022353999631	181
77	-96.51517229567173	10004.797328535089	174
78	-123.00060697964315	10006.407501141972	118
79	-121.42083032415889	10005.368548212045	105
80	-119.36245519383034	10008.152977555765	66
81	-96.67371331262186	10004.640867721419	138
82	-115.48976201055734	10006.167713789006	58
83	-112.48806134168028	10003.126741644115	59
84	-118.93789277880639	10007.73070226239	67
85	-98.15309328867573	10004.259286968865	142
86	-112.63959226903305	10003.13477816462	63
87	-94.1391981495478	10004.33438190644	179
88	-121.4309034052409	10005.048256282798	114
89	-99.02500291475103	10004.840544661025	131
90	-94.32058577668784	10004.076519969793	178
91	-96.91185503394821	9.13535892214747	2000
92	-115.74340272279969	10006.936055838078	54
93	-115.46471476607412	10005.502499035665	56
94	-116.02021742828904	10004.722911871333	63
95	-117.05888960953678	10005.189544994471	66
96	-116.0370116705958	10004.801988522384	62
97	-115.16619017096934	10004.488697606828	59
98	-116.77250564923138	10005.032229843284	63
99	-117.78342263020866	10005.827599919005	65
100	-114.58569643234377	10005.019472347163	53
101	-117.904477571387	10007.913751998116	58
102	-117.11834015708072	10006.000959578138	61
103	-116.22432234809719	10004.766954171868	67
104	-114.35593508469687	10005.527203478248	53
105	-114.32436108718036	10004.476793567323	56
106	-115.23617317950166	10005.19871201062	58
107	-115.47081495103053	10005.84074059827	55
108	-113.70075427863142	10004.520762298162	52
109	-113.71571763776407	10003.489792157305	63
110	-112.1918300783212	10003.020155737611	59
111	-121.97348408152736	10011.854300009727	111
112	-114.74947682723379	10007.318786945567	120
113	-115.85040924337248	10004.649631152432	66
114	-118.44211062061446	10005.045366641963	78
115	-108.92183239277048	10002.015967928475	49
116	-118.74255109957932	10006.780112932509	74
117	-69.02538902622966	6.698755472680688	2000
118	-112.04084324284884	10007.77243389086	138
119	-88.6185070789121	9.628775540860367	2000
120	-76.62969113990238	5.575734326398285	2000
121	-78.61725722586654	5.419883240851397	2000
122	-54.69081878000921	4.12787426556303	2000
123	-54.03255297848494	5.620127107694538	2000
124	-102.23887827229578	9.264737849419088	2000
125	-89.74413228221383	8.599154859646339	2000
126	-172.60574894409018	10022.961920652224	1978
127	-72.30805951744033	5.867803557245227	2000
128	-104.01427596645934	10004.57818733481	104
129	-111.00576840854576	10006.61072199401	311
130	-46.79277422072706	3.017035221655757	2000
131	-44.356633929678004	2.1188778018328724	2000
132	-107.23708655375809	10006.736225739513	100
133	-101.51992989798076	10001.612392286195	114
134	-107.1626541227183	10002.550954156415	63
135	-99.95864760797615	10003.256417776762	118
136	-121.66600611122	10005.568377682686	99
137	-84.94862989705484	9.646530288040813	2000
138	-112.12102866325553	10002.99388220204	385
139	-85.58009968180075	10.36442186510376	2000
140	-111.62388594336107	10004.9492794383	476
141	-114.12958583488697	10006.818855197389	515
142	-91.21295963227175	10003.234897316723	166
143	-84.43222553990294	8.419601302538933	2000
144	-94.49636428035299	10002.508603186145	113
145	-99.77903558515737	10001.476483404243	214
