count	reward_sum	squared_reward_sum	length
0	-116.93701759999905	10006.346312419071	72
1	-118.67643117727998	10006.293316358522	82
2	-118.01124302696763	10008.725231508693	54
3	-119.47400975867815	10007.709356154808	116
4	-67.61110914347519	10.427070577683038	2000
5	-137.72157671249585	10007.228446913197	1396
6	-101.12897744239622	10002.671295718488	65
7	-100.95891312768521	10003.49647064391	81
8	-96.96083809149177	10004.007292292115	92
9	-116.37073012767127	10008.467291948806	57
10	-99.44076393402644	10004.531268881597	62
11	-103.43918881457572	10001.202143839844	69
12	-73.29663229287742	12.330366057495334	2000
13	-73.83982589548678	13.231020213216214	2000
14	-114.07262628080106	10003.509237970295	77
15	-116.94549224461632	10005.054976965068	111
16	-106.71328203818388	10003.462027773672	110
17	-99.18565087948491	10003.991009403073	69
18	-100.8673651098877	10002.255187970406	71
19	-111.90585460381583	10004.141515848703	55
20	-100.21613445907009	10003.494009095788	89
21	-74.64608930067752	14.998617588425441	2000
22	-95.62236220444754	10002.460989409632	76
23	-73.20874373074454	12.602914297727434	2000
24	-113.73979838442372	10005.654054695335	59
25	-108.01304278820241	10002.82592762209	98
26	-101.5457410250459	10000.833888457912	85
27	-114.21678514267089	10004.804744616444	69
28	-98.81202798835739	10003.516663509541	83
29	-103.6654366199753	10002.111190399693	86
30	-113.82564093125286	10006.152497770456	55
31	-109.22966395629462	10004.88261844498	75
32	-72.32284506761762	10.325641849315403	2000
33	-98.71455872975103	10003.829914699209	88
34	-116.9361247795325	10008.243091300297	62
35	-104.54344357073478	10000.893462789887	65
36	-73.41650144484734	15.284726759330862	2000
37	-100.77300127572295	10001.775927602841	69
38	-73.9395686376864	11.693172406383882	2000
39	-119.25020435232653	10005.549031899678	111
40	-110.59974277174092	10003.876745067635	46
41	-110.95638640302832	10003.874723874911	62
42	-114.78103294903124	10003.767382118203	81
43	-73.38872970201517	13.663080627006993	2000
44	-99.63830288343644	10002.271536525277	71
45	-102.62075019115747	10000.854528881546	92
46	-113.163033192412	10005.213275223683	60
47	-133.2730554912296	10008.628010809534	1273
48	-99.05221481006748	10001.447379649951	61
49	-133.82511731143939	10010.16154854554	1282
50	-102.49343825612043	10001.085346716613	80
51	-108.39548152011795	10002.82472628959	95
52	-117.31703956193664	10006.166623154728	97
53	-159.3051132274377	10012.588471615882	1902
54	-97.68638142855923	10002.649464916372	78
55	-99.54416316420864	10000.430671428794	75
56	-146.73121335130227	10010.409595267514	1596
57	-107.39435971589324	10002.612164235577	36
58	-125.0086571774902	10007.116690277571	168
59	-99.8242662532521	10005.906993469984	118
60	-117.64559323796108	10008.244888433144	56
61	-120.10852473471343	10009.284360607924	59
62	-98.54988123977681	10001.646499433533	76
63	-70.82812072818382	10.623779003802289	2000
64	-108.22073250236713	10003.31872955311	35
65	-99.5729151971854	10005.65896453381	90
66	-96.7468894226503	10003.446891805545	95
67	-118.51492026906416	10006.220785696867	86
68	-119.36311338907868	10005.761727432951	92
