count	reward_sum	squared_reward_sum	length
135	-85.34562070169858	28.870325304839245	2000
136	-118.60889643258078	10007.243131244228	81
137	-128.01209043054115	10012.420989399072	284
138	-75.95390905315712	34.25132196392185	2000
139	-110.84395021727899	10002.183465689985	102
140	-69.24932041079087	30.196187355209023	2000
141	-175.56955563432354	10034.151707497125	1348
142	-123.00616641925244	10010.564210612634	162
143	-111.42905310571868	10004.656372208403	38
144	-110.26182788553533	10002.701682729657	48
145	-125.9055792505337	10008.341615422582	136
146	-115.6922527340619	10006.096140764099	46
147	-129.1092018910197	10009.252376543205	114
148	-119.0819044250536	10007.46282183732	57
149	-131.0164455278642	10013.620931821144	117
150	-119.1814859715908	10007.794819425948	54
151	-118.11451790410572	10006.803836249774	58
152	-120.02909759016126	10007.492165793781	63
153	-109.93513375920509	10003.02989867998	40
154	-120.58925504195197	10018.983351163315	258
155	-123.57175987731355	10007.676567481223	88
156	-118.11901914365237	10008.600915265413	196
157	-121.95118489755043	10006.112868680479	108
158	-92.42739958044746	33.11295796415973	2000
159	-96.17127452571282	10005.8158727282	246
160	-86.5974029292664	20.627159855042574	2000
161	-87.97924555895716	15.61163865835173	2000
162	-99.8632929709277	15.006122804121693	2000
163	-112.24061177776566	10010.510034982808	222
164	-96.49954406524145	18.32989764343152	2000
165	-145.29441123555586	10012.612519014758	708
166	-104.32102708040212	10007.486966565051	276
167	-165.42714881198532	10016.31053812925	1213
168	-96.94978319048592	11.733186670556009	2000
169	-99.9433768735289	11.619515018558568	2000
170	-133.91069725418907	12.591239933263111	2000
171	-93.09379801812362	12.841590986055996	2000
172	-86.06910792973613	10.250228198217025	2000
173	-100.7642757366587	10002.3566538515	85
174	-122.5104007263878	10012.309464422777	70
175	-121.58841366988514	10011.04076714324	68
176	-115.45901642613833	10005.812349234573	78
177	-115.82005127809425	10006.1186988814	83
178	-112.8961181129475	10006.466871684077	111
179	-103.69808250317763	10001.500230287233	49
180	-103.16526019438096	10002.129072087835	59
181	-121.05352644863387	10010.036293234823	74
182	-116.45349024578202	10006.614607764668	62
183	-120.7477652596936	10009.236878149037	64
184	-107.6343739331561	10002.70276247979	39
185	-106.60600559382591	10002.820677514885	52
186	-116.15654654355363	10007.470079665614	51
187	-117.71823714028545	10005.464987252992	100
188	-121.44778290040773	10006.057964742104	150
189	-119.32285118145519	12.500825830851438	2000
